epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,5651.06,0.66623,0.50385,1.0055,0.921,0.81606,0.88139,0.59736,1.12134,0.62191,1.34166,0.000271034,0.000271034,0.000271034
96,5709.88,0.64989,0.49373,1.00065,0.91629,0.81156,0.87165,0.59379,1.11379,0.63927,1.33188,0.000266322,0.000266322,0.000266322
97,5769.06,0.65252,0.49219,0.99716,0.92363,0.8269,0.88263,0.60137,1.12419,0.63541,1.34227,0.00026161,0.00026161,0.00026161
98,5827.99,0.65527,0.49508,0.99977,0.9311,0.82193,0.87881,0.60057,1.10438,0.61094,1.31504,0.000256897,0.000256897,0.000256897
99,5886.88,0.65286,0.49588,0.99672,0.90123,0.83114,0.88566,0.60725,1.11193,0.59877,1.31731,0.000252185,0.000252185,0.000252185
100,5945.8,0.63981,0.48361,0.99405,0.93257,0.81189,0.88264,0.59624,1.11028,0.6131,1.32332,0.000247472,0.000247472,0.000247472
101,6004.78,0.64604,0.48269,0.99283,0.89949,0.82972,0.88332,0.59589,1.13051,0.61204,1.32191,0.00024276,0.00024276,0.00024276
102,6063.67,0.63637,0.4774,0.99344,0.91633,0.8211,0.88238,0.60908,1.07802,0.58786,1.2876,0.000238048,0.000238048,0.000238048
103,6122.64,0.63704,0.47742,0.99158,0.94531,0.80525,0.8877,0.60281,1.11846,0.59524,1.32304,0.000233335,0.000233335,0.000233335
104,6181.6,0.63691,0.48151,0.99278,0.89933,0.83989,0.88624,0.59902,1.13892,0.59311,1.34836,0.000228623,0.000228623,0.000228623
105,6240.67,0.63749,0.47444,0.98903,0.88123,0.8341,0.88391,0.59495,1.10859,0.61693,1.32253,0.00022391,0.00022391,0.00022391
106,6299.69,0.63404,0.47039,0.98569,0.91242,0.83538,0.88714,0.59626,1.13111,0.62135,1.34296,0.000219198,0.000219198,0.000219198
107,6358.64,0.62457,0.47101,0.98746,0.91292,0.79834,0.87118,0.59445,1.13171,0.63011,1.32287,0.000214486,0.000214486,0.000214486
108,6417.53,0.62586,0.47052,0.98711,0.93101,0.81452,0.88528,0.59925,1.1191,0.62376,1.34484,0.000209773,0.000209773,0.000209773
109,6476.78,0.62066,0.4628,0.98573,0.91425,0.82638,0.87822,0.59763,1.10395,0.60936,1.32201,0.000205061,0.000205061,0.000205061
110,6535.79,0.61652,0.46641,0.98224,0.93207,0.802,0.87136,0.60136,1.11131,0.63196,1.33413,0.000200348,0.000200348,0.000200348
111,6594.75,0.61985,0.46076,0.98131,0.92122,0.82727,0.88374,0.6041,1.11314,0.58829,1.32299,0.000195636,0.000195636,0.000195636
112,6653.62,0.61482,0.46133,0.98035,0.93653,0.81021,0.8804,0.60007,1.13107,0.60625,1.34416,0.000190924,0.000190924,0.000190924
113,6712.66,0.61079,0.45587,0.97977,0.90021,0.83629,0.88438,0.60437,1.12126,0.59528,1.34152,0.000186211,0.000186211,0.000186211
114,6771.54,0.61253,0.45564,0.98015,0.91845,0.81006,0.88112,0.61304,1.09292,0.58231,1.30662,0.000181499,0.000181499,0.000181499
115,6830.64,0.61067,0.45369,0.97503,0.92147,0.81747,0.88202,0.60829,1.08795,0.58318,1.29477,0.000176786,0.000176786,0.000176786
116,6889.52,0.61243,0.45236,0.97545,0.9061,0.84021,0.88283,0.61488,1.09283,0.58677,1.3002,0.000172074,0.000172074,0.000172074
117,6948.48,0.59898,0.44584,0.97715,0.89657,0.84916,0.88426,0.61793,1.08431,0.5766,1.29789,0.000167362,0.000167362,0.000167362
118,7007.39,0.60575,0.44813,0.97431,0.92217,0.82874,0.88664,0.61439,1.07009,0.57676,1.2846,0.000162649,0.000162649,0.000162649
119,7066.52,0.60421,0.44721,0.97393,0.9059,0.8477,0.88644,0.61545,1.06484,0.58317,1.28306,0.000157937,0.000157937,0.000157937
120,7125.55,0.5954,0.44387,0.97406,0.90694,0.83853,0.88771,0.61055,1.08715,0.58989,1.29805,0.000153224,0.000153224,0.000153224
121,7184.51,0.59637,0.43828,0.96999,0.90992,0.83481,0.88754,0.61523,1.07416,0.58399,1.28573,0.000148512,0.000148512,0.000148512
122,7243.51,0.60025,0.44209,0.96974,0.91428,0.83531,0.88654,0.61071,1.085,0.59481,1.29941,0.0001438,0.0001438,0.0001438
